Source,Target,Weight
CK Kapugedera,CAK Rajitha,3
CK Kapugedera,DAS Gunaratne,5
CK Kapugedera,CRD Fernando,0
CK Kapugedera,HMRKB Herath,7
CK Kapugedera,SL Malinga,5
CK Kapugedera,HDRL Thirimanne,4
CK Kapugedera,MDKJ Perera,4
CK Kapugedera,BKG Mendis,4
CK Kapugedera,N Pradeep,0
CK Kapugedera,WU Tharanga,5
CK Kapugedera,A Dananjaya,0
KMDN Kulasekara,RAS Lakmal,2
KMDN Kulasekara,PVD Chameera,5
KMDN Kulasekara,N Dickwella,6
KMDN Kulasekara,MD Shanaka,4
KMDN Kulasekara,S Prasanna,8
KMDN Kulasekara,SMSM Senanayake,0
KMDN Kulasekara,CAK Rajitha,0
KMDN Kulasekara,DAS Gunaratne,8
KMDN Kulasekara,CRD Fernando,0
KMDN Kulasekara,HMRKB Herath,5
KMDN Kulasekara,SL Malinga,5
KMDN Kulasekara,HDRL Thirimanne,2
KMDN Kulasekara,MDKJ Perera,2
KMDN Kulasekara,BKG Mendis,5
KMDN Kulasekara,N Pradeep,1
KMDN Kulasekara,WU Tharanga,6
KMDN Kulasekara,A Dananjaya,0
JDF Vandersay,RAS Lakmal,2
JDF Vandersay,PVD Chameera,3
JDF Vandersay,N Dickwella,0
JDF Vandersay,MD Shanaka,2
JDF Vandersay,S Prasanna,0
JDF Vandersay,SMSM Senanayake,0
JDF Vandersay,CAK Rajitha,0
JDF Vandersay,DAS Gunaratne,0
JDF Vandersay,CRD Fernando,0
JDF Vandersay,HMRKB Herath,3
JDF Vandersay,SL Malinga,0
JDF Vandersay,HDRL Thirimanne,3
JDF Vandersay,MDKJ Perera,0
JDF Vandersay,BKG Mendis,0
JDF Vandersay,N Pradeep,0
JDF Vandersay,WU Tharanga,0
JDF Vandersay,A Dananjaya,0
RAS Lakmal,PVD Chameera,0
RAS Lakmal,N Dickwella,1
RAS Lakmal,MD Shanaka,1
RAS Lakmal,S Prasanna,2
RAS Lakmal,SMSM Senanayake,2
RAS Lakmal,CAK Rajitha,1
RAS Lakmal,DAS Gunaratne,1
RAS Lakmal,CRD Fernando,0
RAS Lakmal,HMRKB Herath,1
RAS Lakmal,SL Malinga,0
RAS Lakmal,HDRL Thirimanne,1
RAS Lakmal,MDKJ Perera,2
RAS Lakmal,BKG Mendis,3
RAS Lakmal,N Pradeep,1
RAS Lakmal,WU Tharanga,0
RAS Lakmal,A Dananjaya,0
KDK Vithanage,PVD Chameera,1
KDK Vithanage,N Dickwella,0
KDK Vithanage,MD Shanaka,0
KDK Vithanage,S Prasanna,0
KDK Vithanage,SMSM Senanayake,0
KDK Vithanage,CAK Rajitha,0
KDK Vithanage,DAS Gunaratne,0
KDK Vithanage,CRD Fernando,0
KDK Vithanage,HMRKB Herath,0
KDK Vithanage,SL Malinga,0
KDK Vithanage,HDRL Thirimanne,0
KDK Vithanage,MDKJ Perera,0
KDK Vithanage,BKG Mendis,0
KDK Vithanage,N Pradeep,0
KDK Vithanage,WU Tharanga,0
KDK Vithanage,A Dananjaya,0
I Udana,PVD Chameera,1
I Udana,N Dickwella,3
I Udana,MD Shanaka,4
I Udana,S Prasanna,6
I Udana,SMSM Senanayake,0
I Udana,CAK Rajitha,0
I Udana,DAS Gunaratne,2
I Udana,CRD Fernando,0
I Udana,HMRKB Herath,0
I Udana,SL Malinga,1
I Udana,HDRL Thirimanne,0
I Udana,MDKJ Perera,0
I Udana,BKG Mendis,2
I Udana,N Pradeep,0
I Udana,WU Tharanga,2
I Udana,A Dananjaya,1
PVD Chameera,N Dickwella,6
PVD Chameera,MD Shanaka,9
PVD Chameera,S Prasanna,3
PVD Chameera,SMSM Senanayake,3
PVD Chameera,CAK Rajitha,2
PVD Chameera,DAS Gunaratne,4
PVD Chameera,CRD Fernando,1
PVD Chameera,HMRKB Herath,6
PVD Chameera,SL Malinga,0
PVD Chameera,HDRL Thirimanne,3
PVD Chameera,MDKJ Perera,3
PVD Chameera,BKG Mendis,0
PVD Chameera,N Pradeep,3
PVD Chameera,WU Tharanga,3
PVD Chameera,A Dananjaya,3
N Dickwella,MD Shanaka,6
N Dickwella,S Prasanna,8
N Dickwella,SMSM Senanayake,2
N Dickwella,CAK Rajitha,1
N Dickwella,DAS Gunaratne,9
N Dickwella,CRD Fernando,1
N Dickwella,HMRKB Herath,1
N Dickwella,SL Malinga,3
N Dickwella,HDRL Thirimanne,0
N Dickwella,MDKJ Perera,3
N Dickwella,BKG Mendis,4
N Dickwella,N Pradeep,4
N Dickwella,WU Tharanga,7
N Dickwella,A Dananjaya,4
MD Shanaka,S Prasanna,9
MD Shanaka,SMSM Senanayake,3
MD Shanaka,CAK Rajitha,2
MD Shanaka,DAS Gunaratne,4
MD Shanaka,CRD Fernando,1
MD Shanaka,HMRKB Herath,5
MD Shanaka,SL Malinga,2
MD Shanaka,HDRL Thirimanne,2
MD Shanaka,MDKJ Perera,3
MD Shanaka,BKG Mendis,2
MD Shanaka,N Pradeep,3
MD Shanaka,WU Tharanga,4
MD Shanaka,A Dananjaya,3
S Prasanna,SMSM Senanayake,4
S Prasanna,CAK Rajitha,2
S Prasanna,DAS Gunaratne,9
S Prasanna,CRD Fernando,1
S Prasanna,HMRKB Herath,0
S Prasanna,SL Malinga,6
S Prasanna,HDRL Thirimanne,0
S Prasanna,MDKJ Perera,4
S Prasanna,BKG Mendis,7
S Prasanna,N Pradeep,2
S Prasanna,WU Tharanga,7
S Prasanna,A Dananjaya,1
SMSM Senanayake,CAK Rajitha,3
SMSM Senanayake,DAS Gunaratne,1
SMSM Senanayake,CRD Fernando,1
SMSM Senanayake,HMRKB Herath,0
SMSM Senanayake,SL Malinga,0
SMSM Senanayake,HDRL Thirimanne,0
SMSM Senanayake,MDKJ Perera,2
SMSM Senanayake,BKG Mendis,2
SMSM Senanayake,N Pradeep,0
SMSM Senanayake,WU Tharanga,0
SMSM Senanayake,A Dananjaya,0
CAK Rajitha,DAS Gunaratne,0
CAK Rajitha,CRD Fernando,0
CAK Rajitha,HMRKB Herath,0
CAK Rajitha,SL Malinga,0
CAK Rajitha,HDRL Thirimanne,0
CAK Rajitha,MDKJ Perera,1
CAK Rajitha,BKG Mendis,1
CAK Rajitha,N Pradeep,0
CAK Rajitha,WU Tharanga,0
CAK Rajitha,A Dananjaya,0
DAS Gunaratne,CRD Fernando,1
DAS Gunaratne,HMRKB Herath,0
DAS Gunaratne,SL Malinga,5
DAS Gunaratne,HDRL Thirimanne,0
DAS Gunaratne,MDKJ Perera,5
DAS Gunaratne,BKG Mendis,5
DAS Gunaratne,N Pradeep,4
DAS Gunaratne,WU Tharanga,9
DAS Gunaratne,A Dananjaya,3
CRD Fernando,HMRKB Herath,0
CRD Fernando,SL Malinga,0
CRD Fernando,HDRL Thirimanne,0
CRD Fernando,MDKJ Perera,0
CRD Fernando,BKG Mendis,0
CRD Fernando,N Pradeep,0
CRD Fernando,WU Tharanga,0
